objectid,incident_number,call_type,call_time,race,gender,age,stop_type,stop_outcome,veh_state,count_tickets,count_warnings,search,search_type,contraband,viol_dui,arrest
33241,21BU012590,Traffic,2021/08/09 19:14:00+00,White,Male - M,57.0,V = Vehicle Equipment,5,VT,0,1,0,NS = No search,0,0,none
33263,21BU002118,Traffic,2021/02/20 08:55:00+00,White,Male - M,61.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
33366,21BU009205,Traffic,2021/06/21 22:51:00+00,White,Male - M,27.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
33412,21BU003925,Traffic,2021/03/29 06:35:00+00,White,Male - M,20.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
33542,21BU004144,Traffic,2021/04/02 11:13:00+00,White,Male - M,48.0,M = Moving violation,5,NH,0,1,0,NS = No search,0,0,none
33619,21BU013232,Traffic,2021/08/18 23:59:00+00,Asian,Male - M,33.0,M = Moving violation,5,MA,0,1,0,NS = No search,0,0,none
33748,21BU002344,Traffic,2021/02/25 08:38:00+00,White,Male - M,31.0,M = Moving violation,5,NH,0,1,0,NS = No search,0,0,none
34026,21BU006894,Traffic,2021/05/19 14:56:00+00,White,Male - M,73.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
34690,21BU019158,Traffic,2021/11/13 00:51:00+00,White,Male - M,21.0,M = Moving violation,5,ME,0,1,0,NS = No search,0,0,none
34826,21BU009930,Traffic,2021/07/02 18:54:00+00,White,Male - M,22.0,M = Moving violation,5,MA,0,1,0,NS = No search,0,0,none
34839,21BU003353,Traffic,2021/03/18 09:30:00+00,White,Male - M,55.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
34907,21BU020324,Traffic,2021/12/07 13:37:00+00,White,Male - M,47.0,M = Moving violation,4,VT,1,0,0,NS = No search,0,0,none
35032,21BU009982,Traffic,2021/07/03 12:46:00+00,White,Male - M,23.0,M = Moving violation,4,MA,1,0,0,NS = No search,0,0,none
35198,21BU001006,Traffic,2021/01/25 19:47:00+00,White,Male - M,24.0,V = Vehicle Equipment,5,VT,0,1,0,NS = No search,0,0,none
40868,21BU000413,Traffic,2021/01/11 12:05:00+00,White,Male - M,59.0,M = Moving violation,5,NONE,0,1,0,NS = No search,0,0,none
40869,21BU000696,Traffic,2021/01/17 23:49:00+00,White,Male - M,22.0,M = Moving violation,4,NONE,1,0,0,NS = No search,0,0,none
40876,21BU003908,Traffic,2021/03/28 14:46:00+00,Black,Male - M,31.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
40877,21BU003975,Traffic,2021/03/30 01:08:00+00,White,Male - M,16.0,M = Moving violation,4,NONE,1,0,0,NS = No search,0,0,none
40878,21BU004547,Traffic,2021/04/09 15:43:00+00,White,Male - M,56.0,M = Moving violation,5,NONE,0,1,0,NS = No search,0,0,none
40881,21BU005779,Traffic,2021/05/01 16:52:00+00,White,Male - M,87.0,M = Moving violation,3,NONE,0,0,0,NS = No search,0,0,none
40886,21BU007189,Traffic,2021/05/22 20:29:00+00,White,Male - M,21.0,E = Externally Generated,3,NONE,0,0,0,NS = No search,0,0,none
40888,21BU008146,Traffic,2021/06/07 01:38:00+00,Black,Male - M,42.0,I = Investigatory,3,NONE,0,0,0,NS = No search,0,0,none
40890,21BU008674,Traffic,2021/06/13 16:06:00+00,White,Male - M,24.0,V = Vehicle Equipment,5,VT,0,1,0,NS = No search,0,0,none
40898,21BU010951,Traffic,2021/07/16 20:38:00+00,White,Male - M,19.0,M = Moving violation,3,NONE,0,0,0,NS = No search,0,0,none
40899,21BU010975,Traffic,2021/07/17 02:47:00+00,White,Male - M,28.0,M = Moving violation,5,NONE,0,1,0,NS = No search,0,0,none
40900,21BU011066,Traffic,2021/07/19 00:30:00+00,White,Male - M,37.0,M = Moving violation,5,NONE,0,1,0,NS = No search,0,0,none
40902,21BU012065,Traffic,2021/08/02 10:15:00+00,Black,Male - M,57.0,M = Moving violation,5,NONE,0,1,0,NS = No search,0,0,none
40904,21BU012106,Traffic,2021/08/02 18:51:00+00,White,Male - M,37.0,V = Vehicle Equipment,5,NONE,0,1,0,NS = No search,0,0,none
40909,21BU014373,Traffic,2021/09/04 00:12:00+00,Black,Male - M,27.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
40912,21BU016202,Assist - Motorist,2021/09/28 08:26:00+00,White,Male - M,57.0,E = Externally Generated,5,NONE,0,1,0,NS = No search,0,0,none
40913,21BU017697,Traffic,2021/10/19 16:15:00+00,Black,Male - M,19.0,M = Moving violation,3,NONE,0,0,1,SPC = Consent Search w/PC,0,0,none
40915,21BU018076,Traffic,2021/10/25 21:41:00+00,White,Male - M,30.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
40917,21BU018634,Traffic,2021/11/04 13:08:00+00,White,Male - M,23.0,I = Investigatory,3,NONE,0,0,0,NS = No search,0,0,none
40919,21BU020241,Traffic,2021/12/06 00:34:00+00,White,Male - M,49.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
40921,21BU021230,Suspicious Event,2021/12/24 18:24:00+00,White,Male - M,36.0,I = Investigatory,4,NONE,1,0,0,NS = No search,0,0,none
420,21BU001381,DLS,2021/02/04 02:56:00+00,White,Male - M,26.0,V = Vehicle Equipment,A = Arrest for Violation,VT,0,1,0,NS = No search,0,0,arrest
702,21BU005023,DLS,2021/04/17 10:07:00+00,Black,Male - M,20.0,M = Moving violation,A = Arrest for Violation,VT,1,0,0,NS = No search,0,0,arrest
2039,21BU002113,DLS,2021/02/20 07:43:00+00,White,Male - M,41.0,M = Moving violation,A = Arrest for Violation,VT,0,1,0,NS = No search,0,0,arrest
3277,21BU003893,DLS,2021/03/28 02:02:00+00,White,Male - M,58.0,E = Externally Generated,A = Arrest for Violation,VT,1,1,0,NS = No search,0,0,arrest
8353,21BU017440,DUI,2021/10/16 00:21:00+00,Asian,Male - M,26.0,M = Moving violation,A = Arrest for Violation,VT,1,1,0,NS = No search,0,1,arrest
19414,21BU005790,DUI,2021/05/01 22:30:00+00,Asian,Male - M,35.0,E = Externally Generated,A = Arrest for Violation,VT,1,0,1,SRS = Search Reasonable Suspicion,0,0,arrest
28583,21BU019356,Traffic,2021/11/16 18:58:00+00,Black,Male - M,30.0,M = Moving violation,A = Arrest for Violation,VT,0,1,1,SPC = Consent Search w/PC,0,0,arrest
32146,21BU003891,DLS,2021/03/28 01:45:00+00,White,Male - M,37.0,V = Vehicle Equipment,A = Arrest for Violation,VT,0,1,0,NS = No search,0,0,arrest
32648,21BU018373,DUI,2021/10/30 22:58:00+00,Asian,Male - M,34.0,M = Moving violation,A = Arrest for Violation,VT,1,0,0,NS = No search,0,1,arrest
35255,21BU005218,DLS,2021/04/21 13:28:00+00,White,Male - M,54.0,M = Moving violation,A = Arrest for Violation,VT,1,0,0,NS = No search,0,0,arrest
40870,21BU001428,DLS,2021/02/04 16:11:00+00,White,Male - M,26.0,M = Moving violation,A = Arrest for Violation,NONE,0,0,1,SPC = Consent Search w/PC,0,0,arrest
40873,21BU002438,DUI,2021/02/26 22:38:00+00,Asian,Male - M,31.0,M = Moving violation,A = Arrest for Violation,NONE,0,0,1,SRS = Search Reasonable Suspicion,0,1,arrest
40885,21BU006694,Traffic,2021/05/16 21:25:00+00,White,Male - M,39.0,V = Vehicle Equipment,A = Arrest for Violation,NONE,0,1,0,NS = No search,0,0,arrest
40896,21BU010532,DLS,2021/07/10 23:14:00+00,Black,Male - M,41.0,M = Moving violation,A = Arrest for Violation,NONE,0,0,0,NS = No search,0,0,arrest
40903,21BU012100,DLS,2021/08/02 18:07:00+00,White,Male - M,26.0,V = Vehicle Equipment,A = Arrest for Violation,NONE,1,0,0,NS = No search,0,0,arrest
40905,21BU012197,DUI,2021/08/03 21:22:00+00,White,Male - M,30.0,M = Moving violation,A = Arrest for Violation,NONE,0,0,0,NS = No search,0,1,arrest
40911,21BU015652,DLS,2021/09/20 11:16:00+00,Black,Male - M,20.0,M = Moving violation,A = Arrest for Violation,NONE,0,0,1,SRS = Search Reasonable Suspicion,0,0,arrest
14958,21BU003881,Traffic,2021/03/27 21:22:00+00,White,Unknown - U,21.0,V = Vehicle Equipment,5,VT,0,1,0,NS = No search,0,0,none
49,21BU000185,Traffic,2021/01/05 15:26:00+00,White,,,M = Moving violation,5,NONE,0,1,0,NS = No search,0,0,none
40882,21BU005804,Traffic,2021/05/02 00:38:00+00,White,,,,3,NONE,0,0,0,,0,0,none
40891,21BU008894,DLS,2021/06/16 15:57:00+00,Black,,,,3,NONE,0,0,0,,0,0,none
40908,21BU014308,Traffic,2021/09/03 08:52:00+00,White,,,,3,NONE,0,0,0,,0,0,none
40914,21BU017789,Traffic,2021/10/21 02:10:00+00,White,,,I = Investigatory,3,NONE,0,0,0,NS = No search,0,0,none
40916,21BU018366,Traffic,2021/10/30 20:27:00+00,White,,,M = Moving violation,5,NONE,0,1,0,NS = No search,0,0,none
40893,21BU009580,DUI,2021/06/27 18:51:00+00,White,,,,A = Arrest for Violation,NONE,0,0,0,,0,1,arrest
